数据大类,数据子类,数据项,接口名称,描述,限量,权限
股票数据,基础数据,股票基础列表,stock_basic,获取基础信息数据，包括股票代码、名称、上市日期、退市日期等,每次最多返回6000行数据（覆盖全市场A股，会随股票总数增长而增加）,2000积分起，每分钟请求50次。此接口是基础信息，调取一次就可以拉取完，建议保存倒本地存储后使用
股票数据,基础数据,每日股本（盘前）,stk_premarket,每日开盘前获取当日股票的股本情况，包括总股本和流通股本，涨跌停价格等,单次最大8000条数据，可循环提取,与积分无关，可以
股票数据,基础数据,交易日历,trade_cal,"获取各大交易所交易日历数据,默认提取的是上交所",,需2000积分
股票数据,基础数据,ST股票列表,stock_st,获取ST股票列表，可根据交易日期获取历史上每天的ST列表,,3000积分起
股票数据,基础数据,ST风险警示板股票,st,ST风险警示板股票列表,单次最大1000，可根据股票代码循环获取历史数据,6000积分可提取数据
股票数据,基础数据,沪深港通股票列表,stock_hsgt,获取沪深港通股票列表,,3000积分起
股票数据,基础数据,股票曾用名,namechange,历史名称变更记录,,
股票数据,基础数据,上市公司信息,stock_company,获取上市公司基础信息，单次提取4500条，可以根据交易所分批提取,,用户需要至少120积分才可以调取
股票数据,基础数据,上市公司管理层,stk_managers,获取上市公司管理层,,用户需要2000积分才可以调取，5000积分以上频次相对较高
股票数据,基础数据,管理层薪酬和持股,stk_rewards,获取上市公司管理层薪酬和持股,,用户需要2000积分才可以调取，5000积分以上频次相对较高
股票数据,基础数据,北交所新旧代码对照,bse_mapping,获取北交所股票代码变更后新旧代码映射表数据,单次最大1000条（本接口总数据量300以内）,120积分即可调取
股票数据,基础数据,IPO新股列表,new_share,获取新股上市列表数据,单次最大2000条，总量不限制,用户需要至少120积分才可以调取
股票数据,基础数据,股票历史列表,bak_basic,获取备用基础列表，数据从2016年开始,单次最大7000条，可以根据日期参数循环获取历史，正式权限需要5000积分,
股票数据,行情数据,A股日线行情,daily,获取股票行情数据，或通过,,
股票数据,行情数据,实时日线,rt_k,获取实时日k线行情，支持按股票代码及股票代码通配符一次性提取全部股票实时日k线行情,单次最大可提取6000条数据，等同于一次提取全市场,本接口是单独开权限的数据，单独申请权限
股票数据,行情数据,股票实时分钟,stk_mins,获取A股分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,单次最大8000行数据，可以通过股票代码和时间循环获取，本接口可以提供超过10年历史分钟数据,需单独开权限，正式权限请参阅
股票数据,行情数据,实时分钟,rt_min,获取全A股票实时分钟数据，包括1~60min,单次最大1000行数据，可以通过股票代码提取数据，支持逗号分隔的多个代码同时提取,正式权限请参阅
股票数据,行情数据,A股实时分钟-日累计,rt_min_daily,获取A股当日盘中历史分钟数据，可以提取单只股票当日开盘以来的所有分钟数据,,开通了实时分钟权限自动获得本接口权限
股票数据,行情数据,周线行情,weekly,获取A股周线行情，本接口每周最后一个交易日更新，如需要使用每天更新的周线数据，请使用,单次最大6000行，可使用交易日期循环提取，总量不限制,用户需要至少2000积分才可以调取
股票数据,行情数据,月线行情,monthly,获取A股月线数据,单次最大4500行，总量不限制,用户需要至少2000积分才可以调取
股票数据,行情数据,周/月线行情(每日更新),stk_weekly_monthly,股票周/月线行情(每日更新),"单次最大6000,可使用交易日期循环提取，总量不限制",用户需要至少2000积分才可以调取
股票数据,行情数据,周/月线复权行情(每日更新),stk_week_month_adj,股票周/月线行情(复权--每日更新),"单次最大6000,可使用交易日期循环提取，总量不限制",用户需要至少2000积分才可以调取
股票数据,行情数据,复权因子,adj_factor,本接口由Tushare自行生产，获取股票复权因子，可提取单只股票全部历史复权因子，也可以提取单日全部股票的复权因子,,
股票数据,行情数据,实时Tick（爬虫）,realtime_quote,本接口是tushare org版实时接口的顺延，数据来自网络，且不进入tushare服务器，属于爬虫接口，请将tushare升级到1.3.3版本以上,,0积分完全开放，但需要有tushare账号，如果没有账号请先
股票数据,行情数据,实时成交（爬虫）,realtime_tick,本接口是tushare org版实时接口的顺延，数据来自网络，且不进入tushare服务器，属于爬虫接口，数据包括该股票当日开盘以来的所有分笔成交数据,,0积分完全开放，但需要有tushare账号，如果没有账号请先
